Product Code,Product Name,Product Price,Product Brand,Product Availability,Product Link
QX2061,1980 25th Christmas Together,$10.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-25th-Christmas-Together_p_16075.html
QX2061SDB,1980 25th Christmas Together SDB,$9.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-25th-Christmas-Together-SDB_p_27406.html
QX1441,1980 A Christmas Vigil,$77.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-A-Christmas-Vigil_p_16076.html
QX1394,1980 A Heavenly Nap,$28.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1980-A-Heavenly-Nap_p_16077.html
QX1394DB,1980 A Heavenly Nap DB,$23.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-A-Heavenly-Nap-DB_p_25607.html
QX1534,1980 A Spot Of Christmas Cheer,$32.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-A-Spot-Of-Christmas-Cheer_p_16078.html
QX1561B,1980 Baby's First Christmas,$31.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Babys-First-Christmas_p_16082.html
QX2294,1980 Baby's First Christmas Af-Am,$28.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Babys-First-Christmas-Af-Am_p_16087.html
QX2154,"1980 Betsey Clark #8, Joy in the Air",$17.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Betsey-Clark-8-Joy-in-the-Air_p_16085.html
QX2154DB,"1980 Betsey Clark #8, Joy in the Air - DB",$15.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Betsey-Clark-8-Joy-in-the-Air--DB_p_27407.html
QX1401,1980 Caroling Bear,$28.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1980-Caroling-Bear_p_16089.html
QX1401DB,1980 Caroling Bear DB,$15.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Caroling-Bear-DB_p_25605.html
QX1584,1980 Checking It Twice - SE,$42.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Checking-It-Twice--SE_p_16091.html
QX2101B,1980 Christmas At Home,$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Christmas-At-Home_p_16092.html
QX1314,1980 Christmas Owl,$17.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1980-Christmas-Owl_p_16097.html
QX1474,1980 Drummer Boy (Dough-Look),$20.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1980-Drummer-Boy-Dough-Look_p_16106.html
QX2054,1980 First Christmas Together,$55.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-First-Christmas-Together_p_16109.html
QX2081B,1980 Friendship,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Friendship_p_16111.html
QX1374,1980 Frosty Friends #1 - RARE,$599.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Frosty-Friends-1--RARE_p_13824.html
QX1374DB,1980 Frosty Friends #1 - RARE - DB,$549.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Frosty-Friends-1--RARE--DB_p_22971.html
QX2021,1980 Granddaughter,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1980-Granddaughter_p_16112.html
